Sno,Title,Experience & Benefits delivered
222,Energy Management and Sustainability Solutions, Recently completed significant PPA Power Purchase Agreements resulting in savings worth 10m Have worked with 100s of organisations to implement energy purchasing strategies and ensuring the best solution is chosen Fixed Price Flexi Contracts hedges Onsite PPAs Off Site PPAs Completed projects that have resulted in consumption dropping 20 in a single year  this reduced carbon output as well as financial savings Integrated energy management suppliers into the organisation after completing a tender and selection process which are now delivering multiple consumption and spend reduction programmes some on a savings share arrangement
223,Utility Contract Negotiations, Have completed over 400 energy tenders for both electricity and gas supplies Resulting in savings of 835 Have created group tenders for multiple entities in the aged care sector to increase the purchasing power and to open up further purchasing methods eg Flexi Contracts  hedging Recently worked on incorporating complex green and carbon requirements into tenders for clients that require an extra level of scrutiny Have recently integrated significant PPA Power Purchase Agreements into the energy purchasing mix for large corporate users 140GWh per annum Providing reduced costs long term price certainty and the highest quality of green credentials
224,Energy Strategy Development for Procurement , Recently implemented Energy Management strategies in the United Kingdom Italy and Germany and on track to save 10m over the next 10years for several large corporates Have recently worked on incorporating complex green and carbon requirements into energy strategies to align with carbon reduction pledges made publicly Have worked with 100s of organisations to implement energy purchasing strategies and ensuring the best solution is chosen Fixed Price Flexi Contracts Hedges Onsite PPAs Off Site PPAs
225,"Managing G-Cloud, DOS5, and Other Digital Marketplace Frameworks",Successfully delivered IT requirements within Chelsea and Westminster NHS Trust  and Homes England  Working with well known IT providers such as Deloitte PwC and Phoenix
226,Procurement of Cybersecurity Solutions and Services, Successfully delivered IT cyber security requirements when working in Homes England ensuring the risk assessment management certification and security strategy was captured 
227,Procurement of IT Support and Managed Services:,Whilst working in Chelsea  Westminster NHS Trust as an IT procurement Manager I was working on high value project delivering latest version of Microsoft office engaging with the following suppliers Phoenix PwC CDW Deloitte including IT support and training  for succesful Microsoft Office programme delivery
228,Procurement of Research and Development (R&D) Services, Whilst working in Home Office supported the RD team to fulfill their research requirements for several confidential requirements to deliver their research by shaping the Procurement strategy Utilised established CCS framework for Research Category to source the appropriate suppliers for delivery
229,Procurement of Scientific and Laboratory Equipment,  Chelsea  Westminster NHS Trust Led procurement for a specific requirement for life saving laboratory equipment being provided by a very limited number of suppliers Successfully carried out market research to identify new entries as well negotiating the deal with the selected service provider
230,"Procurement of Rail Industry Trams Infrastructure (Power, Tracks, Civils)", Delivered several London Trams projects where a supply chain proved to be very limited Sourced and established relationships with suppliers navigating challenging Transport for London requirements  Introduced CCS frameworks as an alternative to the existing Tfl frameworks to expand their supply chain
231,End-to-End Procurement Transformation in High-Regulation Industries, Engaged to replace McKinsey a  2m cost avoidance  lead Procurement postacquisition integration  restructuring of a panEuropean team following the acquisition of four process plants  Delivered a Global Procurement transformation programme for a rapidly growing pharma business for both direct incl global active pharmaceutical ingredients  excipients and packaging and indirect expenditure whilst introducing a JD Edwards platform for procure to pay Engaged to set up panEuropean Procurement Operations across more than thirty countries in Bucharest subsequently awarded for service quality with 50 13 less people than planned by a leading global consulting firm  applauded by CPO  peers FMCG Led the transformation to merge disparate purchasing  product management teams 70 people into more effective category trading teams whilst delivering a headcount reduction of 28 prioritised by the Private Equity owners
232,Advanced Diagnostics & Opportunity Analysis for Brown-Field Procurement, Several decades operating as a Procurement subject matter expert managing spends in direct indirect retail and capital equipment of up to 4 billion per annum and assessing the relative maturity of largecomplex procurement teams across more than thirty clients in more than thirty different industries and subsequently delivering transformative Procurement programmes as a result
233,Strategies For Enhancing ROI across Procurement Categories, Lean supply chain consulting background Strategic Procurement subject matter expert with decades of experience as a Procurement Director  CPO managing spends of up to 4 billion per annum Delivery of gamechanging procurement process systems and org structural transformations with a track record across more than thirty clients in more than fifteen demanding industries 
234,Effective Leadership in Complex Procurement Programme Delivery, Assignment to rapidly recover declining stakeholder confidence for a confidential and strategically important project in a large panEuropean business in a politically demanding environment Client quote following the projects final presentation Thats the first transformation project that Ive seen here which delivered successfully on time Client reference for a different assignment Davids interpersonal skills and style of management came to the fore keeping the key stakeholders engaged and onboard yet delivering to the tight timescales David brought to the team real professionalism with an incredible wealth of knowledge and expertise and a dedication and desire to get the job done but importantly in the right way Having worked closely with David for nine months I would thoroughly recommend him for any senior Procurement or transformational role His commitment drive and energy were a great addition to the team and I hope I can work with him again in the future
235,Strategic and/or e-Sourcing Initiatives for Category Management, Early adopter of Strategic Sourcing in the UK following the introduction of the approach by a US first tier strategic consultancy in aerospace and automotive clients Client reference Davids role was to review our systems and identify methods that could be employed to close the gaps in both the key processes and our procurement performance thereby delivering both savings and a pipeline of opportunities for the Group David invested a significant amount of effort to introduce eSourcing as an effective method of global sourcing for raw materials Using the Ariba eSourcing platform David was then able to demonstrate the effectiveness of this practice with a 22 saving in this raw materials category
236,Implementing Source to Pay (S2P) Platform Solutions, Led the IT team responsible for the design build  roll out of a SAPAriba source to pay solution for a global FTSE10 client Led the workstream for a pharma regulated Oracle JD EDWARDS P2P module in 11 legal entities Client reference As the Solution Director for our eProcurement service David and his team were responsible for the design build and implementation of our sourcing contracting procurement and invoice reconciliation solution David proved himself as an authentic and inspiring leader establishing a strong team culture based on a drive for results transparency and collaboration  David overcame a challenging timeline budget constraints and a variety of stakeholder perspectives to deliver a transformative step for clients Business Services Group David brings a strong combination of strong domain expertise drive determination and genuine warmth humour and humility to bear on any role These are strengths combined with his passion for procurement excellence make him a strong addition to any organisation I can endorse David without hesitation and would welcome the chance to work with him again in the future
237,Crisis Management in Procurement and Supply Chain, Recovered the waning confidence of a highly visible confrontational stakeholders within a complex strategic programme for a household name client Client reference following the delivery of a complex change programme in a politically challenging environmentDavids interpersonal skills and style of management came to the fore keeping the key stakeholders engaged and onboard yet delivering to the tight timescales David brought to the team real professionalism with an incredible wealth of knowledge and expertise and a dedication and desire to get the job done but importantly in the right way Having worked closely with David for nine months I would thoroughly recommend him for any senior procurement or transformational role His commitment drive and energy were a great addition to the team and I hope I can work with him again in the future
238,Establishing Procurement in Carve Outs & Start Ups, Established the Procurement team for the second carve out from one of the largest industry deintegration programmes in Europe Reference from the COO of a FinTech startup formerly the CEO of Barclays retail banking business in the USA David was a tremendous help as he came on board to help as we were transitioning to new leadership with the supplier management team David is a true professional with a ton of experience and very collaborative work style David quickly assessed the team activities continue stop new to do improved stakeholder management with contract backlog aided in our SOC2 audit to success found cost opportunities as well as being a solid member of the COO leadership team I would highly recommend David for any organisation needing procurement or supplier management expertise It was a pleasure having him on the team
239,Enhancing Procurement’s Reputation with Demanding Stakeholders, Decades of delivering demandingcomplex progress with sometimes hostilechallenging stakeholders in more than thirty client businesses across fifteen demanding industries at Procurement Director  CPO level whilst managing spends of up to  4 billion per annum Client reference I wouldnt hesitate to recommend Davids services to any company He settled in quickly and got on well with the team At all times he conducted himself in a professional manner and was able to argue his point effectively and calmly even when under fire from the sceptics within the organisation to an extent he had a positive impact on the mindset of a number of people involved in procurement  Client reference David proved himself as an authentic and inspiring leader establishing a strong team culture based on a drive for results transparency and collaborationDavid brings a strong combination of strong domain expertise drive determination and genuine warmth humour and humility to bear on any role These strengths combined with his passion for procurement excellence make him a strong addition to any organisation I can endorse David without hesitation and would welcome the chance to work with him again in the future 
240,"Procurement Policy, Processes & Systems",At London Array I completed a comprehensive review of a suite of drafted procedures which had not been implemented for over 2 years rationalisation and rewrite prior to consultation with senior managers and rollout to the business
241,Procurement Healthcheck - Rapid Scan of your Current Strategy, Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
242,Cloud Commercial Health Check - Rapid Scan of your Current Strategy,Kelloggs EU  delivered EU procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech and deliver 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 monthsKelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budgetHammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organization blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savingsHammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new ContractorsHammerson Plc  Lead Project Riesling the backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefitsSwissport Western EU  Lead business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities ManagementSwissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance ManagementKesslers International  Lead transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business  Kesslers International  resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructuresDixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement  DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savingsDCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy DCG  delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
243,P2P/Process Healthcheck - Rapid Scan of Current Strategy, Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
244,Contract Management Healthcheck - Rapid Scan of your Current Strategy , Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
245,Software Licensing and Management Strategies ,Experienced in Cost out saves Demand management Renegotiatons and strategies for software procurement licensing compliance and asset management eg business applications SaaS desktop BI testing tools databases middleware cybersecurity monitoring shrinkwrap cloud services etc
246,Outsourcing IT Support and Managed Services,Experience includes Multi million pound savings relating to offshore nearshore and onshore outsourcing of application development  maintenance infrastructure managed services engineering etc
247,Enterprise Resource Planning (ERP) Systems: Selection and implementation,Experience includes Selection and implementation of ERP eg SAP Oracle systems for integrated business management Commercial support troubleshooting on a global multimillion major SAP transformation programme Managing major ERP system integrators on all matters pertaining to supplier management contract negotiation change management and all related sourcing events including initial ERP and SI supplier selection
248,"IT Procurement : Software, Outsourcing & ERP ",Delivered multimillion firm wide expense reductions from 20012024 via numerous and diverse new localenterprisewide deals and renegotiations in close collaboration with business and technology stakeholders 
249,Strategic Procurement Strategy & CLM Solutions,A strong delivery track record ranging from institutionalising procurement strategy and governance promoting best practice category management tendering negotiating implementing spend analytics  SRM leading commercially complex strategic sourcing initiatives from cradle to grave inculcating strategic supplier relationship management vendor management MA  divestitures  contract separations injecting common sense and equanimity meeting deadlines driving out multimillion bottomline savings obtaining supplier tangible valueadd and ensuring the internal clients and ultimately the firm obtains optimal deals 
250,"S&OP refresh, Change Projects or a review of your supply chain strategy",progarm as an interim my delivering including a full refresh of SOP structure including re write of JD and KPIs manufacturing strategy review in line with new markets evaluation of current systems and assessment of IT deliverables
251,Coupa Advisory to Maximise Benefits, Over the last 9 years have successfully delivered over 40 Coupa implementations for many global companies such as Diageo ASSA ABLOY PVH OLX and more Regularly deal with integration and functional design and am an expert in all things Coupa Implementing best practices and devise solutions that will make client business processes cleaner and easier to follow
252,Tail Spend Management to Reduce Risk and Save Money, Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
253,Accounts Payables Enhancement & Recovery, Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
254,Software & SaaS - License Risk Management, Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
255,"Procurement Outsourcing Readiness - P2P, S2P, SRM or full service", SME Procurement Outsourcing Leadership including deep experience of fullcycle BPO procurement outsourcing on a global basis  Both as a service provider and service consumer across FS Industrial FMCG Legal Oil and Gas with Xchanging ICG Commerce and Accenture BPO Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
256,"Function Diagnostics - People, Maturity, Operations, Tech & Performance", SME Procurement Outsourcing Leadership including deep experience of fullcycle BPO procurement outsourcing on a global basis  Both as a service provider and service consumer across FS Industrial FMCG Legal Oil and Gas with Xchanging ICG Commerce and Accenture BPO Kelloggs EU  Delivered EU Procurementled transformation into Technology  Professional Services to identify and kick off remodeled ToM for Tech Delivered 12 savings6M across Cloud Applications Operations IT Capex  professional servicesHR categories within 6 months Kelloggs EU  Established EU Capex for Construction strategy and delivery plans including new sites site investment digital twins and manufacturing equipment delivering a 15 reduction vs budget Hammerson Plc  Established flexible Procurement model appropriate for a lowheadcount midMarket organisation blending technology with inoutsourcing to deliver a userled model delivering in excess of 10M OPEX annual savings Hammerson Plc  Developed Capex execution playbooks and polices to support 500M per year of Construction  Fitout expenditure rebuilt major Vendor relationships that had fallen into disrepair during and subsequent to Covid yielding benefits in cost timeline and service from existing and new Contractors Hammerson Plc  Led backoffice transformationoutsourcing project driving business improvement by consolidating supply shortening lead to cash to deliver 5M in year benefits Swissport Western EU  Led business transformation activities across WE business including P2P OrdertoCash  revenue leakage programs and targeted outsourcing of TruckingLogistics and Facilities Management Swissport Western EU  Designed the Procurement target operating model and relationships to the global team whilst embedding stakeholder expectation management into the WE business and commencing recruitment of the new team shifting capability from tactical buying activities to Vendor Performance Management Kesslers International  Led transformation from a business built upon a high fixed cost base onto asaservice principles allowing IT Finance HR and Manufacturing to access highquality resources on a pay per use basis delivering circa 4M of value to a 30M turnover business   Kesslers International  Resolved problems and issues associated with commercial and supply chain separation of Oldco and Newco such as remediation of the Hive DownProperty Lease separation of shared services and technical issues within the ITHRFinance infrastructures Dixons Carphone Group  Established the commercialsupply chain vision for the ERP transformation across DCG and streamlined processes for designdevelopimplement   DCG  Systems Integration led renegotiation of commercials  contract with the SI Accenture with minimal business disruption realizing 14M pa in operational  programme cost savings DCG  Application ManagementDevelopment led discovery  consolidation strategy  renegotiation of the existing Accenture 10year MSA aligned to the migration path for DCG IT operating model from make to blended make vs buy  DCG  Delivered a wholecompany AM transition resulting in circa 12M of savings from 80M of spend and embedded work package management processes to BAU to driveoptimise execution quality cost and service
257,Procurement of Event Management and Infrastructure Services ,Delivery of Commercial and Procurement elements of Operation London Bridge and the Coronation of King Charles III and Queen Camilla for the Department for Culture Media and Sport This work received the CIPS Excellence in Procurement Public Procurement Project of the Year 2023 and the GCF Chief Commercial Officers Commercial Excellence Award 2022
258,Procurement of Professional Services,Procurement of various professional Services consultancy research legal finance LD for specific projects and programmes to implementation of various professional services frameworks including both low value niche requirements digital cultural sector telecoms AI Cyber to multi million pound agreements
259,Procurement Policy and Processes Review and Development,Previous review and development of procurement Policy Process and Systems for Dept for Culture Media and Sport Arts Council England Regents University Rugby Football Union and Ofcom
